iter	RMSE
0	0.6136698815
1	0.6111913996
2	0.6087802782
3	0.606329779
4	0.6038905703
5	0.6014764914
6	0.5991724691
7	0.5968604828
8	0.5945089394
9	0.5922169014
10	0.5900513545
11	0.587862079
12	0.5856804549
13	0.58359221
14	0.5814653977
15	0.5794264628
16	0.5774298347
17	0.5756024853
18	0.5736075461
19	0.5716165415
20	0.5696275661
21	0.5677719346
22	0.5659392879
23	0.5640027295
24	0.5621357641
25	0.5603091765
26	0.5586033019
27	0.5568397446
28	0.5551544084
29	0.5534473377
30	0.5516804454
31	0.5499673206
32	0.5483787688
33	0.5467462311
34	0.5452031554
35	0.5436039693
36	0.5420389545
37	0.5405659338
38	0.5389733706
39	0.5375166899
40	0.5360171159
41	0.5345077426
42	0.5331559264
43	0.5316708424
44	0.5301902358
45	0.5288602218
46	0.5274414228
47	0.5261040589
48	0.5248820326
49	0.5234819279
50	0.5222155943
51	0.5209341559
52	0.5195920586
53	0.518362302
54	0.5171049629
55	0.5159128378
56	0.5147420914
57	0.5135672976
58	0.512473585
59	0.5112746793
60	0.5101767966
61	0.5089796729
62	0.5078476303
63	0.5067159023
64	0.5056374636
65	0.5045552185
66	0.503436808
67	0.5024074528
68	0.5013595485
69	0.5002949624
70	0.4992897322
71	0.4982884762
72	0.4972479337
73	0.4962153318
74	0.4952386852
75	0.4944037078
76	0.4934276562
77	0.492466736
78	0.491568794
79	0.4906786717
80	0.4898631645
81	0.4890348798
82	0.4881311042
83	0.4872776281
84	0.4864493381
85	0.4856162037
86	0.4847710537
87	0.4839908472
88	0.4831992813
89	0.4823588785
90	0.4815755235
91	0.4808242126
92	0.4800330753
93	0.4793015301
94	0.4785290156
95	0.4778088004
96	0.4770320439
97	0.4763554274
98	0.475635619
99	0.4749190523
100	0.4742348276
101	0.4735497676
102	0.472902924
103	0.4721704387
104	0.4714963913
105	0.4707784284
106	0.4701415751
107	0.4695305637
108	0.468938384
109	0.4683080129
110	0.467686931
111	0.4670524533
112	0.4664648366
113	0.4658947193
114	0.4653463317
115	0.4648011971
116	0.4642322514
117	0.4636134266
118	0.4630934374
119	0.4624955679
120	0.461965607
121	0.461390514
122	0.4608563964
123	0.4602879548
124	0.4597445976
125	0.4592371266
126	0.4587037113
127	0.4581528917
128	0.457664074
129	0.4571308136
130	0.4566625488
131	0.4561693509
132	0.4556901761
133	0.4552000104
134	0.4547394833
135	0.4543590028
136	0.4538696717
137	0.4534308143
138	0.4529505246
139	0.4525122867
140	0.4520602375
141	0.4516021692
142	0.4511332159
143	0.4506803545
144	0.4502543401
145	0.4498491643
146	0.4494241206
147	0.449002807
148	0.4486152244
149	0.4482593307
150	0.4478606645
151	0.4474930799
152	0.4471092281
153	0.4467459001
154	0.4463600633
155	0.4459984456
156	0.4455648085
157	0.4451681951
158	0.4447926057
159	0.4443844921
160	0.4440220704
161	0.4436536988
162	0.4433150152
163	0.4429846525
164	0.4426504699
165	0.442302083
166	0.4419471543
167	0.4415676876
168	0.4412373783
169	0.4409118479
170	0.4405773766
171	0.4402385579
172	0.4399140263
173	0.439594188
174	0.4392891164
175	0.4390012552
176	0.4386620226
177	0.4383488909
178	0.438059435
179	0.4377331642
180	0.4374425789
181	0.4371506386
182	0.4368296856
183	0.4365158829
184	0.4362232649
185	0.4359375408
186	0.435632927
187	0.4353227744
188	0.4350395565
189	0.4348068728
190	0.4345632568
191	0.4342617515
192	0.433987739
193	0.4337476537
194	0.4334783596
195	0.433215304
196	0.4329798136
197	0.4327231467
198	0.4324523204
199	0.4322162892
200	0.4319614045
201	0.4317189613
202	0.4314646232
203	0.4311515551
204	0.4308547916
205	0.4306307568
206	0.4303967888
207	0.4301599144
208	0.4299215613
209	0.4296684479
210	0.4294090197
211	0.4292018479
212	0.4289430114
213	0.4287099631
214	0.4284979225
215	0.428249231
216	0.4280271521
217	0.4277939126
218	0.4275343527
219	0.4273144732
220	0.4271011756
221	0.4268766008
222	0.4266639883
223	0.4264479698
224	0.4262188628
225	0.4260154649
226	0.42576865
227	0.4255142067
228	0.4252683265
229	0.4250411581
230	0.4248162204
231	0.4246095483
232	0.424386118
233	0.4241472896
234	0.4238793684
235	0.4236734962
236	0.4234676336
237	0.4232634839
238	0.4230959391
239	0.4228934567
240	0.4227000495
241	0.4224998607
242	0.4222993324
243	0.422110097
244	0.4219137081
245	0.4217146538
246	0.4215037486
247	0.4213061109
248	0.4211317781
249	0.4209548117
250	0.4207656688
251	0.4205786285
252	0.4203919362
253	0.4202131187
254	0.420013382
255	0.4198446026
256	0.4196658848
257	0.4194890835
258	0.4192511236
259	0.419074291
260	0.4188639908
261	0.4186786223
262	0.4185259468
263	0.4183593282
264	0.4181503961
265	0.4179716744
266	0.4177788856
267	0.4176114522
268	0.4174563873
269	0.417278444
270	0.4170724755
271	0.4169146698
272	0.4167579412
273	0.4165917258
274	0.4164336613
275	0.4162931882
276	0.4161025342
277	0.4159343589
278	0.415772541
279	0.415601548
280	0.4154519087
281	0.415264243
282	0.4150969277
283	0.4149391786
284	0.414760625
285	0.4146019628
286	0.4144223327
287	0.4142513058
288	0.414076148
289	0.4139165889
290	0.4137332329
291	0.4135617944
292	0.4134187383
293	0.4132825001
294	0.4131429617
295	0.4130101518
296	0.412869697
297	0.4126496286
298	0.4125066857
299	0.4123438373
300	0.4122063726
301	0.4120467487
302	0.4118836952
303	0.4117348395
304	0.411579367
305	0.4114480045
306	0.4113184142
307	0.4111943562
308	0.4110489511
309	0.4109057041
310	0.4107729917
311	0.4106342272
312	0.4104824832
313	0.4103481469
314	0.4102193325
315	0.4100250017
316	0.4098911621
317	0.4097579616
318	0.4096316274
319	0.4094861262
320	0.4093054113
321	0.4091845371
322	0.4090161317
323	0.4088693107
324	0.4087407184
325	0.4086043559
326	0.4084509222
327	0.4083185943
328	0.4081741018
329	0.4080457678
330	0.4079267558
331	0.4078047586
332	0.4076452661
333	0.4075332709
334	0.407410588
335	0.4072769747
336	0.4071673304
337	0.4070596391
338	0.4069493581
339	0.4068115959
340	0.4066814291
341	0.4065669406
342	0.4064407829
343	0.4063339339
344	0.406224533
345	0.4061245837
346	0.4059219597
347	0.4057936545
348	0.4056886171
349	0.4055905175
350	0.4054497558
351	0.4053427242
352	0.4052387254
353	0.4050902486
354	0.4049815511
355	0.4048111536
356	0.4046849104
357	0.4045017054
358	0.404396516
359	0.4042984497
360	0.4041798552
361	0.404070461
362	0.4038722152
363	0.4037685571
364	0.4036693737
365	0.403565579
366	0.4034396686
367	0.403339524
368	0.4032370867
369	0.4031051783
370	0.4029421541
371	0.4028157321
372	0.4027283777
373	0.4026354378
374	0.4025484095
375	0.4024553301
376	0.4023494998
377	0.4022453743
378	0.4020624147
379	0.4019574984
380	0.4018287573
381	0.4016913013
382	0.401597776
383	0.4015209586
384	0.4014077945
385	0.4013205759
386	0.4011820022
387	0.4010486264
388	0.4009335672
389	0.4008145763
