iter	Passed	Remaining
0	152	152549
1	156	78310
2	160	53502
3	164	41062
4	168	33583
5	172	28653
6	177	25136
7	181	22486
8	185	20438
9	189	18765
10	193	17403
11	197	16245
12	201	15296
13	205	14476
14	209	13759
15	213	13127
16	217	12574
17	221	12076
18	225	11626
19	229	11226
20	233	10873
21	237	10545
22	241	10243
23	244	9962
24	248	9707
25	252	9471
26	256	9252
27	260	9049
28	264	8862
29	268	8688
30	272	8520
31	276	8365
32	280	8222
33	284	8087
34	288	7957
35	292	7833
36	296	7716
37	300	7607
38	304	7501
39	308	7404
40	312	7310
41	316	7218
42	320	7131
43	324	7047
44	328	6973
45	332	6898
46	336	6824
47	340	6756
48	344	6688
49	348	6625
50	352	6560
51	356	6500
52	360	6444
53	364	6389
54	368	6334
55	373	6291
56	377	6239
57	381	6191
58	385	6141
59	389	6101
60	393	6058
61	397	6017
62	402	5982
63	406	5948
64	410	5912
65	415	5877
66	419	5844
67	423	5805
68	427	5770
69	431	5736
70	435	5701
71	439	5666
72	443	5632
73	447	5600
74	451	5570
75	455	5543
76	459	5512
77	463	5481
78	467	5454
79	471	5424
80	475	5396
81	479	5368
82	483	5343
83	487	5317
84	491	5290
85	495	5264
86	499	5238
87	503	5214
88	507	5191
89	511	5167
90	515	5144
91	518	5121
92	522	5098
93	526	5077
94	530	5057
95	534	5036
96	538	5015
97	542	4995
98	546	4975
99	550	4955
100	554	4936
101	558	4918
102	562	4898
103	566	4880
104	570	4860
105	574	4844
106	578	4828
107	582	4810
108	586	4793
109	590	4775
110	594	4760
111	598	4744
112	602	4728
113	606	4716
114	611	4708
115	616	4697
116	621	4687
117	625	4672
118	629	4657
119	633	4643
120	637	4627
121	641	4614
122	645	4601
123	649	4586
124	653	4573
125	657	4559
126	661	4545
127	665	4532
128	669	4518
129	673	4505
130	677	4491
131	681	4478
132	684	4464
133	688	4451
134	692	4438
135	696	4425
136	700	4414
137	704	4403
138	709	4392
139	713	4380
140	716	4367
141	720	4356
142	724	4343
143	728	4332
144	732	4320
145	736	4308
146	740	4297
147	744	4287
148	748	4275
149	752	4263
150	756	4251
151	760	4240
152	763	4229
153	767	4217
154	771	4206
155	775	4195
156	779	4185
157	783	4174
158	787	4163
159	791	4154
160	795	4143
161	799	4133
162	802	4122
163	807	4115
164	812	4110
165	816	4104
166	821	4095
167	825	4087
168	829	4079
169	833	4071
170	838	4063
171	842	4055
172	846	4047
173	851	4039
174	855	4033
175	860	4026
176	864	4021
177	869	4013
178	873	4005
179	877	3998
180	881	3989
181	885	3981
182	890	3974
183	894	3966
184	898	3960
185	903	3952
186	907	3945
187	911	3937
188	915	3930
189	920	3922
190	924	3915
191	928	3908
192	932	3900
193	937	3892
194	941	3885
195	945	3878
196	950	3874
197	955	3870
198	959	3863
199	964	3856
200	968	3848
201	972	3840
202	976	3832
203	980	3824
204	983	3815
205	987	3807
206	991	3799
207	995	3790
208	999	3782
209	1003	3774
210	1007	3767
211	1011	3759
212	1015	3751
213	1019	3744
214	1023	3736
215	1027	3728
216	1031	3721
217	1035	3713
218	1039	3706
219	1043	3698
220	1047	3691
221	1050	3683
222	1054	3675
223	1058	3667
224	1062	3659
225	1066	3652
226	1070	3645
227	1074	3638
228	1078	3630
229	1082	3623
230	1086	3616
231	1090	3608
232	1094	3601
233	1098	3595
234	1102	3590
235	1106	3583
236	1112	3581
237	1116	3574
238	1120	3567
239	1124	3560
240	1128	3553
241	1132	3546
242	1136	3539
243	1140	3532
244	1143	3525
245	1148	3518
246	1152	3512
247	1156	3505
248	1160	3498
249	1163	3491
250	1167	3484
251	1171	3478
252	1175	3471
253	1179	3464
254	1183	3458
255	1187	3451
256	1191	3445
257	1195	3439
258	1200	3434
259	1204	3428
260	1208	3422
261	1212	3416
262	1217	3410
263	1221	3406
264	1226	3400
265	1230	3395
266	1235	3390
267	1240	3387
268	1245	3384
269	1250	3380
270	1254	3374
271	1258	3368
272	1262	3361
273	1266	3355
274	1270	3348
275	1273	3341
276	1277	3335
277	1281	3328
278	1285	3322
279	1289	3316
280	1293	3309
281	1297	3303
282	1301	3297
283	1305	3290
284	1309	3284
285	1313	3278
286	1317	3272
287	1321	3266
288	1324	3259
289	1328	3253
290	1332	3247
291	1336	3241
292	1340	3235
293	1344	3228
294	1348	3223
295	1352	3216
296	1356	3211
297	1360	3205
298	1365	3200
299	1368	3194
300	1372	3188
301	1377	3183
302	1382	3179
303	1387	3176
304	1391	3170
305	1395	3164
306	1399	3159
307	1403	3152
308	1407	3147
309	1411	3141
310	1415	3134
311	1418	3128
312	1423	3123
